AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
286160,Tabletop Simulator,2015,Deckbuilding,$19.99,0%,70660,"$70,624,670.00",68575,"$68,540,712.50"
2525310,Drop Duchy,2025,Deckbuilding,$11.99,0%,1366,"$818,917.00",1839,"$1,102,480.50"
3097560,Liar's Bar,2024,Deckbuilding,$6.99,0%,48550,"$16,968,225.00",50838,"$17,767,881.00"
880940,Pummel Party,2018,Deckbuilding,$14.99,0%,53814,"$40,333,593.00",54539,"$40,876,980.50"
965580,Root,2020,Deckbuilding,$14.99,0%,0,$0.00,4612,"$3,456,694.00"
3353100,Passant: A Chess Roguelike,2025,Deckbuilding,$10.79,0%,0,$0.00,157,"$84,701.50"
3591550,Hunter Roulette,2025,Deckbuilding,$1.59,0%,0,$0.00,456,"$36,252.00"
3005620,Drop Pockets,2025,Deckbuilding,$14.99,0%,0,$0.00,111,"$83,194.50"
1948280,Stacklands,2022,Deckbuilding,$7.99,0%,0,$0.00,27548,"$11,005,426.00"
1236720,Spirit Island,2020,Deckbuilding,$24.99,0%,1246,"$1,556,877.00",1318,"$1,646,841.00"
720620,TaleSpire,2021,Deckbuilding,$24.99,0%,4681,"$5,848,909.50",4777,"$5,968,861.50"
1196310,Fantasy Grounds VTT,2020,Deckbuilding,$49.99,0%,874,"$2,184,563.00",901,"$2,252,049.50"
2442460,Citizen Sleeper 2: Starward Vector,2025,Deckbuilding,$24.99,0%,1316,"$1,644,342.00",1444,"$1,804,278.00"
527230,For The King,2018,Deckbuilding,$19.99,0%,41487,"$41,466,256.50",41983,"$41,962,008.50"
3743220,A Solitaire Mystery,2025,Deckbuilding,$9.99,0%,0,$0.00,182,"$90,909.00"
3438800,Doodle Empires,2025,Deckbuilding,$6.99,0%,66,"$23,067.00",356,"$124,422.00"
1578650,Citizen Sleeper,2022,Deckbuilding,$19.99,0%,8105,"$8,100,947.50",8545,"$8,540,727.50"
3399960,Fish to Dish: Idle Sushi,2025,Deckbuilding,$5.99,0%,0,$0.00,692,"$207,254.00"
502520,Ultimate General: Civil War,2017,Deckbuilding,$29.99,0%,7984,"$11,972,008.00",8077,"$12,111,461.50"
3470170,Queens Casino,2025,Deckbuilding,$8.99,0%,0,$0.00,150,"$67,425.00"
2797650,Pip My Dice,2025,Deckbuilding,$10.99,0%,0,$0.00,74,"$40,663.00"
337150,Sentinels of the Multiverse,2014,Deckbuilding,$0.99,0%,1608,"$79,596.00",1620,"$80,190.00"
2693730,Dawnsbury Days,2024,Deckbuilding,$4.99,0%,601,"$149,949.50",684,"$170,658.00"
1299620,Fabled Lands,2022,Deckbuilding,$7.59,0%,487,"$184,816.50",491,"$186,334.50"
1974290,Sentinels of Earth-Prime,2023,Deckbuilding,$3.95,0%,53,"$10,467.50",54,"$10,665.00"
3612640,Infiniclick,2025,Deckbuilding,$7.99,0%,0,$0.00,109,"$43,545.50"
3376250,Nine-Ball Roulette,2025,Deckbuilding,$3.99,0%,838,"$167,181.00",984,"$196,308.00"
349730,Popup Dungeon,2020,Deckbuilding,$9.99,0%,1020,"$509,490.00",1030,"$514,485.00"
3358250,Loot of Baal,2025,Deckbuilding,$8.78,0%,0,$0.00,1114,"$489,046.00"
518060,Chess Ultra,2017,Deckbuilding,$12.99,0%,2135,"$1,386,682.50",2160,"$1,402,920.00"
1318240,Shields of Loyalty,2025,Deckbuilding,$13.99,0%,104,"$72,748.00",125,"$87,437.50"
3629080,Sizzle & Stack,2025,Deckbuilding,$9.99,0%,0,$0.00,209,"$104,395.50"
770100,One Deck Dungeon,2018,Deckbuilding,$9.99,0%,823,"$411,088.50",829,"$414,085.50"
333300,ADOM (Ancient Domains Of Mystery),2015,Deckbuilding,$14.99,0%,1530,"$1,146,735.00",1547,"$1,159,476.50"
1174460,Poker Club,2020,Deckbuilding,$19.99,0%,486,"$485,757.00",493,"$492,753.50"
829660,No Time to Relax,2019,Deckbuilding,$13.99,0%,2384,"$1,667,608.00",2495,"$1,745,252.50"
1272160,The Life and Suffering of Sir Brante,2021,Deckbuilding,$19.99,0%,8619,"$8,614,690.50",8844,"$8,839,578.00"
1063580,Aeon's End,2019,Deckbuilding,$14.99,0%,442,"$331,279.00",452,"$338,774.00"
3194140,Cozy Sudoku,2024,Deckbuilding,$2.99,0%,64,"$9,568.00",79,"$11,810.50"
3356790,Cozy Solitaire,2024,Deckbuilding,$3.99,0%,49,"$9,775.50",66,"$13,167.00"
1883000,HEART of CROWN Online,2024,Deckbuilding,$15.99,0%,286,"$228,657.00",290,"$231,855.00"
1939940,Roll Player - The Board Game,2023,Deckbuilding,$14.99,0%,147,"$110,176.50",148,"$110,926.00"
2749100,Dawnmaker,2024,Deckbuilding,$14.99,0%,131,"$98,184.50",145,"$108,677.50"
908070,Mystic Vale,2019,Deckbuilding,$12.99,0%,424,"$275,388.00",427,"$277,336.50"
1374930,Black Geyser: Couriers of Darkness,2022,Deckbuilding,$29.99,0%,889,"$1,333,055.50",908,"$1,361,546.00"
235620,Small World,2013,Deckbuilding,$9.99,0%,1466,"$732,267.00",1473,"$735,763.50"
1149940,Lock 'n Load Tactical Digital: Core Game,2020,Deckbuilding,$4.99,0%,541,"$134,979.50",546,"$136,227.00"
1974300,One Deck Galaxy,2024,Deckbuilding,$12.99,0%,43,"$27,928.50",46,"$29,877.00"
1363740,The Troop,2023,Deckbuilding,$39.99,0%,648,"$1,295,676.00",668,"$1,335,666.00"
965590,Sagrada,2020,Deckbuilding,$9.99,0%,368,"$183,816.00",381,"$190,309.50"
838410,Tabletop Playground,2020,Deckbuilding,$14.99,0%,244,"$182,878.00",246,"$184,377.00"
1370170,Diorama Builder,2024,Deckbuilding,$4.99,0%,449,"$112,025.50",461,"$115,019.50"
1817000,Zodiacats,2022,Deckbuilding,$1.99,0%,1099,"$109,350.50",1154,"$114,823.00"
2394070,Melody Mania,2023,Deckbuilding,$18.99,0%,46,"$43,677.00",49,"$46,525.50"
2088670,Puzzline,2022,Deckbuilding,$3.99,0%,125,"$24,937.50",139,"$27,730.50"
2160470,Zup! Y,2024,Deckbuilding,$1.99,0%,0,$0.00,185,"$18,407.50"
1555400,Gomoku Let's Go,2021,Deckbuilding,$2.99,0%,847,"$126,626.50",869,"$129,915.50"
900400,Sacred Fire: A Role Playing Game,2021,Deckbuilding,$18.99,0%,467,"$443,416.50",473,"$449,113.50"
539270,Mahjong,2017,Deckbuilding,$9.99,0%,500,"$249,750.00",516,"$257,742.00"
1342890,Who Needs a Hero?,2021,Deckbuilding,$19.99,0%,1454,"$1,453,273.00",1455,"$1,454,272.50"
2373800,Conclave Virtual Tabletop,2023,Deckbuilding,$11.99,0%,31,"$18,584.50",31,"$18,584.50"
2789810,Bingle Bingle,2024,Deckbuilding,$10.99,0%,446,"$245,077.00",464,"$254,968.00"
1725640,Sudocats,2022,Deckbuilding,$1.99,0%,1486,"$147,857.00",1553,"$154,523.50"
965600,Raiders of the North Sea,2019,Deckbuilding,$14.99,0%,236,"$176,882.00",238,"$178,381.00"
663390,Rento Fortune: Online Dice Board Game (大富翁),2017,Deckbuilding,$4.99,0%,3386,"$844,807.00",3400,"$848,300.00"
943410,Istanbul: Digital Edition,2018,Deckbuilding,$12.99,0%,198,"$128,601.00",261,"$169,519.50"
618550,Chess of Blades,2018,Deckbuilding,$24.99,0%,113,"$141,193.50",113,"$141,193.50"
251210,Hive,2014,Deckbuilding,$9.99,0%,296,"$147,852.00",299,"$149,350.50"
2752720,Dice Player One,2024,Deckbuilding,$14.99,0%,497,"$372,501.50",506,"$379,247.00"
2248180,Just Xiangqi,2024,Deckbuilding,$9.99,0%,617,"$308,191.50",642,"$320,679.00"
1005930,Timeflow – Life Sim,2019,Deckbuilding,$14.99,0%,1543,"$1,156,478.50",1551,"$1,162,474.50"
1234220,Paper Pirates,2020,Deckbuilding,$12.99,0%,125,"$81,187.50",125,"$81,187.50"
661280,Dresden Files Cooperative Card Game,2017,Deckbuilding,$16.99,0%,113,"$95,993.50",114,"$96,843.00"
3216750,Caverna,2025,Deckbuilding,$19.99,0%,7,"$6,996.50",11,"$10,994.50"
257670,Elder Sign: Omens,2013,Deckbuilding,$5.99,0%,447,"$133,876.50",448,"$134,176.00"
966090,Canasta 3D Premium,2019,Deckbuilding,$9.99,0%,66,"$32,967.00",69,"$34,465.50"
628900,Terra Mystica,2017,Deckbuilding,$16.99,0%,262,"$222,569.00",263,"$223,418.50"
965610,Reiner Knizia Yellow & Yangtze,2019,Deckbuilding,$14.99,0%,108,"$80,946.00",109,"$81,695.50"
3059390,Hexagod,2025,Deckbuilding,$7.99,0%,65,"$25,967.50",73,"$29,163.50"
1945230,Diablo The Abyss,2023,Deckbuilding,$7.99,0%,215,"$85,892.50",216,"$86,292.00"
1798690,Blackjack Avenue,2022,Deckbuilding,$2.99,0%,16,"$2,392.00",17,"$2,541.50"
2511780,Vestiges: Fallen Tribes,2025,Deckbuilding,$24.99,0%,36,"$44,982.00",40,"$49,980.00"
2206560,Zup! Q,2023,Deckbuilding,$1.99,0%,0,$0.00,698,"$69,451.00"
1568240,Castle Itter - The Strangest Battle of WWII,2021,Deckbuilding,$8.99,0%,11,"$4,944.50",11,"$4,944.50"
2491200,TOUHOU GENSOU MAHJONG,2024,Deckbuilding,$49.99,0%,78,"$194,961.00",85,"$212,457.50"
2138580,Exotica: Petshop Simulator,2024,Deckbuilding,$7.99,0%,488,"$194,956.00",489,"$195,355.50"
883080,Ludo Online: Classic Multiplayer Dice Board Game,2019,Deckbuilding,$0.99,0%,420,"$20,790.00",421,"$20,839.50"
2884080,OMG Words,2025,Deckbuilding,$9.99,0%,71,"$35,464.50",78,"$38,961.00"
2114370,Takoyaki Party Survival,2022,Deckbuilding,$2.99,0%,240,"$35,880.00",242,"$36,179.00"
1424980,The Solitaire Conspiracy,2020,Deckbuilding,$11.99,0%,752,"$450,824.00",756,"$453,222.00"
2564140,Desktop Garage Kit : Go,2023,Deckbuilding,$18.99,0%,19,"$18,040.50",26,"$24,687.00"
2140850,Looper Tactics,2023,Deckbuilding,$10.99,0%,498,"$273,651.00",502,"$275,849.00"
1188270,The Curse of Feldar Vale,2021,Deckbuilding,$4.99,0%,59,"$14,720.50",60,"$14,970.00"
1795110,Classic Card Games Collection,2021,Deckbuilding,$14.99,0%,22,"$16,489.00",24,"$17,988.00"
2675630,Cats Huddled Together 挤在一起的猫猫们,2023,Deckbuilding,$1.99,0%,0,$0.00,362,"$36,019.00"
917840,Wintermoor Tactics Club,2020,Deckbuilding,$14.99,0%,611,"$457,944.50",621,"$465,439.50"
2004180,DAGURI: Gambling Apocalypse,2022,Deckbuilding,$2.99,0%,190,"$28,405.00",198,"$29,601.00"
2346570,Songs of Life,2025,Deckbuilding,$8.99,0%,127,"$57,086.50",131,"$58,884.50"
431520,Age of Fear: Total,2023,Deckbuilding,$59.99,0%,34,"$101,983.00",35,"$104,982.50"
1517240,CHESS with LASERS,2021,Deckbuilding,$11.99,0%,36,"$21,582.00",36,"$21,582.00"
1643180,Artist Life Simulator,2022,Deckbuilding,$19.99,0%,176,"$175,912.00",178,"$177,911.00"
748970,Zen Chess: Mate in One,2018,Deckbuilding,$0.69,0%,409,"$14,110.50",420,"$14,490.00"
858860,Tabletop Gods,2019,Deckbuilding,$19.99,0%,95,"$94,952.50",95,"$94,952.50"
395900,Backgammon Blitz,2015,Deckbuilding,$3.99,0%,246,"$49,077.00",248,"$49,476.00"
1729050,The Fox in the Forest,2021,Deckbuilding,$6.99,0%,32,"$11,184.00",32,"$11,184.00"
2113450,"Forests, Fields and Fortresses",2023,Deckbuilding,$4.99,0%,66,"$16,467.00",68,"$16,966.00"
869690,Cat Lady - The Card Game,2019,Deckbuilding,$3.99,0%,302,"$60,249.00",304,"$60,648.00"
1737690,Yacht Dice,2021,Deckbuilding,$0.99,0%,357,"$17,671.50",445,"$22,027.50"
2398590,Azure Orphanage,2024,Deckbuilding,$16.99,0%,70,"$59,465.00",76,"$64,562.00"
3547790,My Wife,2025,Deckbuilding,$1.99,0%,53,"$5,273.50",81,"$8,059.50"
3547790,My Wife,2025,Deckbuilding,$1.99,0%,53,"$5,273.50",81,"$8,059.50"
312720,Khet 2.0,2014,Deckbuilding,$9.99,0%,163,"$81,418.50",163,"$81,418.50"
2427360,Idle Taoist Mage Warrior,2023,Deckbuilding,$4.99,0%,132,"$32,934.00",133,"$33,183.50"
1709180,Solitaire Expeditions,2022,Deckbuilding,$9.99,0%,80,"$39,960.00",79,"$39,460.50"
1938200,Desktop Dog,2022,Deckbuilding,$2.99,0%,42,"$6,279.00",42,"$6,279.00"
941920,Classic Card Games 3D,2018,Deckbuilding,$19.99,0%,99,"$98,950.50",101,"$100,949.50"
904400,Cardpocalypse,2020,Deckbuilding,$24.99,0%,241,"$301,129.50",243,"$303,628.50"
620650,Puzzle With Your Friends,2018,Deckbuilding,$4.99,0%,181,"$45,159.50",187,"$46,656.50"
1614340,Matchsticks - Coffee Break Club,2021,Deckbuilding,$1.99,0%,87,"$8,656.50",87,"$8,656.50"
1969860,MACHI KORO With Everyone,2024,Deckbuilding,$24.99,0%,103,"$128,698.50",109,"$136,195.50"
1309200,3D Math - Ultra,2020,Deckbuilding,$4.99,0%,208,"$51,896.00",215,"$53,642.50"
415910,Gigachess,2015,Deckbuilding,$3.99,0%,94,"$18,753.00",95,"$18,952.50"
2530420,Fatermyth,2024,Deckbuilding,$9.99,0%,496,"$247,752.00",506,"$252,747.00"
1580600,Hunted: Kobayashi Tower,2021,Deckbuilding,$4.99,0%,17,"$4,241.50",17,"$4,241.50"
740810,Pleasure Puzzle:Workshop 趣拼拼：拼图工坊,2018,Deckbuilding,$0.99,0%,226,"$11,187.00",223,"$11,038.50"
2619860,Animated Jigsaw Puzzles,2024,Deckbuilding,$4.99,0%,15,"$3,742.50",15,"$3,742.50"
476240,KNIGHTS,2016,Deckbuilding,$0.99,0%,785,"$38,857.50",789,"$39,055.50"
769730,Awkward,2018,Deckbuilding,$11.99,0%,100,"$59,950.00",100,"$59,950.00"
1261700,Knight's Retreat,2020,Deckbuilding,$2.99,0%,97,"$14,501.50",98,"$14,651.00"
2011160,Puzzles with nature,2022,Deckbuilding,$1.09,0%,14,$763.00,14,$763.00
939620,Pleasure Puzzle:Portrait 趣拼拼：肖像画,2018,Deckbuilding,$0.99,0%,1854,"$91,773.00",1857,"$91,921.50"
523150,Mahjong World Contest (麻将),2016,Deckbuilding,$14.99,0%,209,"$156,645.50",212,"$158,894.00"
1383050,Chess Knights: Shinobi,2020,Deckbuilding,$2.09,0%,69,"$7,210.50",70,"$7,315.00"
1383050,Chess Knights: Shinobi,2020,Deckbuilding,$2.09,0%,69,"$7,210.50",70,"$7,315.00"
2723460,Dogs Huddled Together 挤在一起的狗狗们,2024,Deckbuilding,$1.99,0%,0,$0.00,124,"$12,338.00"
1906140,SEARCH ALL - BERRIES,2022,Deckbuilding,$2.99,0%,72,"$10,764.00",72,"$10,764.00"
1199660,The Answer Is 42,2019,Deckbuilding,$1.99,0%,156,"$15,522.00",156,"$15,522.00"
1454090,Army of Numbers,2021,Deckbuilding,$1.99,0%,85,"$8,457.50",85,"$8,457.50"
2093900,Island Cities - Jigsaw Puzzle,2022,Deckbuilding,$1.99,0%,215,"$21,392.50",220,"$21,890.00"
2977360,Cartographers,2024,Deckbuilding,$5.99,0%,12,"$3,594.00",12,"$3,594.00"
324740,The Warlock of Firetop Mountain,2016,Deckbuilding,$19.99,0%,708,"$707,646.00",707,"$706,646.50"
1101270,Anime Artist,2019,Deckbuilding,$1.99,0%,184,"$18,308.00",190,"$18,905.00"
1706190,SudoKats,2021,Deckbuilding,$1.99,0%,79,"$7,860.50",80,"$7,960.00"
1161360,Shisensho Solitaire,2019,Deckbuilding,$1.99,0%,81,"$8,059.50",83,"$8,258.50"
1458590,Anime Artist 3: Harem,2020,Deckbuilding,$1.99,0%,72,"$7,164.00",76,"$7,562.00"
2470610,Progress Chess,2024,Deckbuilding,$7.99,0%,10,"$3,995.00",12,"$4,794.00"
934540,Pleasure Puzzle:Sexy Girls 趣拼拼：性感少女,2018,Deckbuilding,$0.99,0%,244,"$12,078.00",244,"$12,078.00"
3370120,Block Puzzle,2024,Deckbuilding,$1.99,0%,0,$0.00,14,"$1,393.00"
1029900,Rummy 3D Premium,2019,Deckbuilding,$9.99,0%,66,"$32,967.00",69,"$34,465.50"
1071330,Dark Fantasy 2: Jigsaw Puzzle,2019,Deckbuilding,$2.98,0%,144,"$21,456.00",145,"$21,605.00"
1871500,One Line: Letters and Codes,2022,Deckbuilding,$0.99,0%,60,"$2,970.00",62,"$3,069.00"
3153240,IFSolitaire,2024,Deckbuilding,$0.99,0%,12,$594.00,13,$643.50
806900,Them Bombs,2019,Deckbuilding,$10.99,0%,69,"$37,915.50",70,"$38,465.00"
1256490,Othello Let's Go,2020,Deckbuilding,$1.99,0%,49,"$4,875.50",51,"$5,074.50"
2529880,Royal Card Clash,2024,Deckbuilding,$2.99,0%,19,"$2,840.50",19,"$2,840.50"
1799160,Math+Sticks - Coffee Break Club,2021,Deckbuilding,$1.99,0%,54,"$5,373.00",54,"$5,373.00"
799800,Animals Memory: Cats,2018,Deckbuilding,$3.99,0%,96,"$19,152.00",97,"$19,351.50"
421260,Militia,2015,Deckbuilding,$5.99,0%,141,"$42,229.50",141,"$42,229.50"
994270,Where Birds 鸟儿在哪里,2024,Deckbuilding,$0.99,0%,0,$0.00,53,"$2,623.50"
38600,Faerie Solitaire,2010,Deckbuilding,$14.99,0%,2521,"$1,889,489.50",2522,"$1,890,239.00"
366760,Adorables,2016,Deckbuilding,$4.99,0%,1166,"$290,917.00",1174,"$292,913.00"
971780,Elemental Connection,2018,Deckbuilding,$2.99,0%,11,"$1,644.50",11,"$1,644.50"
1593410,The Awakening of Mummies,2021,Deckbuilding,$1.99,0%,33,"$3,283.50",33,"$3,283.50"
894540,ShyChess,2018,Deckbuilding,$1.99,0%,41,"$4,079.50",42,"$4,179.00"
2363920,Jigsaw Puzzle World Memories,2023,Deckbuilding,$1.99,0%,16,"$1,592.00",17,"$1,691.50"
3052500,ColdRidge,2024,Deckbuilding,$9.99,0%,103,"$51,448.50",108,"$53,946.00"
1007940,Classic Jigsaw Puzzles,2019,Deckbuilding,$4.99,0%,28,"$6,986.00",28,"$6,986.00"
2136110,Vox Populi: Brazil 2022,2024,Deckbuilding,$4.99,0%,79,"$19,710.50",80,"$19,960.00"
1746700,The Alchemist Shop: An Apprentice's Life,2022,Deckbuilding,$2.99,0%,16,"$2,392.00",16,"$2,392.00"
1707770,Animals Memory: Monkeys,2021,Deckbuilding,$2.99,0%,30,"$4,485.00",30,"$4,485.00"
2209270,Moorhuhn Piraten - Crazy Chicken Pirates,2023,Deckbuilding,$4.99,0%,10,"$2,495.00",11,"$2,744.50"
656590,Eight-Minute Empire,2017,Deckbuilding,$7.99,0%,121,"$48,339.50",123,"$49,138.50"
1500290,Desktop Honey,2021,Deckbuilding,$0.99,0%,28,"$1,386.00",28,"$1,386.00"
2323670,Jigsaw Puzzle Delicious Foods,2023,Deckbuilding,$0.99,0%,16,$792.00,16,$792.00
2097180,OxU,2022,Deckbuilding,$1.99,0%,21,"$2,089.50",216,"$21,492.00"
1213770,Blastboard,2020,Deckbuilding,$1.99,0%,46,"$4,577.00",46,"$4,577.00"
2858790,DEAD MAN'S HAND: Card Roulette Action,2024,Deckbuilding,$4.99,0%,31,"$7,734.50",33,"$8,233.50"
1391200,Pixel With Your Friends,2024,Deckbuilding,$4.99,0%,80,"$19,960.00",80,"$19,960.00"
675270,Rockets Are Super Hard,2020,Deckbuilding,$11.99,0%,22,"$13,189.00",22,"$13,189.00"
493380,ChessVR,2016,Deckbuilding,$4.99,0%,16,"$3,992.00",16,"$3,992.00"
1991450,Philosophical Jigsaw - The Zen Koans,2022,Deckbuilding,$1.39,0%,23,"$1,598.50",23,"$1,598.50"
778340,Animals Memory: Dogs,2018,Deckbuilding,$3.99,0%,47,"$9,376.50",47,"$9,376.50"
1145410,Knight Swap,2019,Deckbuilding,$0.99,0%,140,"$6,930.00",143,"$7,078.50"
835640,Dust and Salt: The Battle for Murk,2018,Deckbuilding,$1.99,0%,15,"$1,492.50",15,"$1,492.50"
1692580,Hidden Shapes Black Skull - Jigsaw Puzzle Game,2021,Deckbuilding,$1.99,0%,42,"$4,179.00",42,"$4,179.00"
3813480,Game Tech Simulator,2025,Deckbuilding,$2.99,0%,0,$0.00,11,"$1,644.50"
766630,Dust and Salt,2018,Deckbuilding,$3.99,0%,74,"$14,763.00",74,"$14,763.00"
