AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,PositiveReviews_SteamSpy,NegativeReviews_SteamSpy,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,PositiveReviews_HTML,NegativeReviews_HTML,TotalReviews_HTML,EstimatedRevenue_HTML
286160,Tabletop Simulator,2015,Deckbuilding,"₩21,500",0%,66735,3925,70660,75959500000,0,0,0,0
880940,Pummel Party,2018,Deckbuilding,"₩16,500",0%,47800,6014,53814,44396550000,0,0,0,0
3097560,Liar's Bar,2024,Deckbuilding,"₩7,800",0%,44341,4209,48550,18934500000,0,0,0,0
2525310,Drop Duchy,2025,Deckbuilding,"₩13,200",19%,1225,141,1366,901560000,1571,194,1765,1164900000
1948280,Stacklands,2022,Deckbuilding,"₩8,800",0%,0,0,0,0,0,0,0,0
527230,For The King,2018,Deckbuilding,"₩20,500",0%,36581,4906,41487,42524175000,0,0,0,0
1737690,Yacht Dice,2021,Deckbuilding,"₩1,100",0%,292,65,357,19635000,299,79,378,20790000
965580,Root,2020,Deckbuilding,"₩15,500",0%,3971,442,4413,3420075000,0,0,0,0
3358250,Loot of Baal,2025,Deckbuilding,"₩9,760",0%,0,0,0,0,618,395,1013,494344000
3399960,Fish to Dish: Idle Sushi,2025,Deckbuilding,"₩6,700",0%,0,0,0,0,608,32,640,214400000
1236720,Spirit Island,2020,Deckbuilding,"₩27,000",0%,1140,106,1246,1682100000,1088,108,1196,1614600000
3470170,Queens Casino,2025,Deckbuilding,"₩9,900",9%,0,0,0,0,112,0,112,55440000
1555400,Gomoku Let's Go,2021,Deckbuilding,"₩3,300",0%,746,101,847,139755000,718,98,816,134640000
3353100,Passant: A Chess Roguelike,2025,Deckbuilding,"₩12,150",9%,0,0,0,0,121,26,147,89302500
1272160,The Life and Suffering of Sir Brante,2021,Deckbuilding,"₩20,500",0%,7790,829,8619,8834475000,0,0,0,0
3743220,A Solitaire Mystery,2025,Deckbuilding,"₩11,000",0%,0,0,0,0,158,17,175,96250000
3591550,Hunter Roulette,2025,Deckbuilding,"₩1,840",19%,0,0,0,0,322,44,366,33672000
2797650,Pip My Dice,2025,Deckbuilding,"₩12,500",0%,0,0,0,0,67,4,71,44375000
1478220,Puzzle Together Multiplayer Jigsaw Puzzles,2020,Deckbuilding,Free,0%,3801,637,4438,0,0,0,0,0
2442460,Citizen Sleeper 2: Starward Vector,2025,Deckbuilding,"₩27,000",0%,1239,77,1316,1776600000,1277,96,1373,1853550000
3376250,Nine-Ball Roulette,2025,Deckbuilding,"₩4,500",0%,727,111,838,188550000,773,115,888,199800000
3005620,Drop Pockets,2025,Deckbuilding,"₩16,500",0%,0,0,0,0,89,21,110,90750000
502520,Ultimate General: Civil War,2017,Deckbuilding,"₩32,000",0%,7123,861,7984,12774400000,0,0,0,0
1578650,Citizen Sleeper,2022,Deckbuilding,"₩21,500",0%,7522,583,8105,8712875000,0,0,0,0
2004180,DAGURI: Gambling Apocalypse,2022,Deckbuilding,"₩3,300",0%,180,10,190,31350000,174,11,185,30525000
3629080,Sizzle & Stack,2025,Deckbuilding,"₩9,900",9%,0,0,0,0,130,44,174,86130000
3194140,Cozy Sudoku,2024,Deckbuilding,"₩3,400",0%,59,5,64,10880000,58,6,64,10880000
1196310,Fantasy Grounds VTT,2020,Deckbuilding,"₩53,000",0%,730,144,874,2316100000,610,134,744,1971600000
720620,TaleSpire,2021,Deckbuilding,"₩26,000",0%,4271,410,4681,6085300000,0,0,0,0
2248180,Just Xiangqi,2024,Deckbuilding,"₩11,000",0%,536,81,617,339350000,522,92,614,337700000
337150,Sentinels of the Multiverse,2014,Deckbuilding,"₩1,100",90%,1440,168,1608,88440000,1069,80,1149,63195000
3356790,Cozy Solitaire,2024,Deckbuilding,"₩4,500",0%,46,3,49,11025000,50,8,58,13050000
1883000,HEART of CROWN Online,2024,Deckbuilding,"₩17,200",19%,243,43,286,245960000,207,46,253,217580000
351030,Pixel Puzzles Ultimate Jigsaw Puzzles,2022,Deckbuilding,Free,0%,2018,659,2677,0,0,0,0,0
1128810,RISK: Global Domination,2020,Deckbuilding,Free,0%,31060,7783,38843,0,0,0,0,0
1870300,SOVL: Fantasy Warfare,2023,Deckbuilding,Free,0%,0,0,0,0,0,0,0,0
1063580,Aeon's End,2019,Deckbuilding,"₩16,500",0%,363,79,442,364650000,324,71,395,325875000
829660,No Time to Relax,2019,Deckbuilding,"₩14,500",0%,2195,189,2384,1728400000,0,0,0,0
3438800,Doodle Empires,2025,Deckbuilding,"₩7,800",0%,62,4,66,25740000,312,35,347,135330000
247000,Talisman: Digital Classic Edition,2014,Deckbuilding,Free,0%,7569,2092,9661,0,0,0,0,0
770100,One Deck Dungeon,2018,Deckbuilding,"₩11,000",0%,665,158,823,452650000,594,139,733,403150000
1299620,Fabled Lands,2022,Deckbuilding,"₩8,200",60%,393,94,487,199670000,379,95,474,194340000
2088670,Puzzline,2022,Deckbuilding,"₩4,400",0%,124,1,125,27500000,131,0,131,28820000
1383050,Chess Knights: Shinobi,2020,Deckbuilding,"₩2,380",30%,57,12,69,8211000,56,11,67,7973000
2564140,Desktop Garage Kit : Go,2023,Deckbuilding,"₩20,500",0%,16,3,19,19475000,19,6,25,25625000
