AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
294100,RimWorld,2018,Indie,$34.99,0%,210517,"$368,299,491.50",219115,"$383,341,692.50"
252490,Rust,2018,Indie,$39.99,0%,1227784,"$2,454,954,108.00",1251383,"$2,502,140,308.50"
1721110,Abyssus,2025,Indie,$24.99,0%,0,$0.00,1581,"$1,975,459.50"
264710,Subnautica,2018,Indie,$7.49,75%,313707,"$117,483,271.50",321113,"$120,256,818.50"
2201320,Date Everything!,2025,Indie,$23.99,20%,0,$0.00,4744,"$5,690,428.00"
739630,Phasmophobia,2020,Indie,$19.99,0%,768779,"$768,394,610.50",782159,"$781,767,920.50"
1203620,Enshrouded,2024,Indie,$23.99,20%,78080,"$93,656,960.00",81312,"$97,533,744.00"
413150,Stardew Valley,2016,Indie,$14.99,0%,886195,"$664,203,152.50",919346,"$689,049,827.00"
526870,Satisfactory,2024,Indie,$39.99,0%,232064,"$464,011,968.00",241343,"$482,565,328.50"
427520,Factorio,2020,Indie,$35.00,0%,215209,"$376,615,750.00",214361,"$375,131,750.00"
108600,Project Zomboid,2013,Indie,$19.99,0%,377063,"$376,874,468.50",390943,"$390,747,528.50"
848450,Subnautica: Below Zero,2021,Indie,$7.49,75%,96660,"$36,199,170.00",98101,"$36,738,824.50"
1645820,SurrounDead,2022,Indie,$11.99,0%,8200,"$4,915,900.00",13023,"$7,807,288.50"
632360,Risk of Rain 2,2020,Indie,$24.99,0%,313577,"$391,814,461.50",318747,"$398,274,376.50"
1158160,Coral Island,2023,Indie,$20.09,33%,21728,"$21,825,776.00",22601,"$22,702,704.50"
648800,Raft,2022,Indie,$19.99,0%,346359,"$346,185,820.50",352774,"$352,597,613.00"
690830,Foundation,2025,Indie,$24.49,30%,20132,"$24,651,634.00",20786,"$25,452,457.00"
105600,Terraria,2011,Indie,$9.99,0%,1409473,"$704,031,763.50",1432097,"$715,332,451.50"
2379780,Balatro,2024,Indie,$14.99,0%,153566,"$115,097,717.00",166183,"$124,554,158.50"
3035120,Is This Seat Taken?,2025,Indie,$8.99,10%,0,$0.00,1534,"$689,533.00"
250900,The Binding of Isaac: Rebirth,2014,Indie,$14.99,0%,343420,"$257,393,290.00",352520,"$264,213,740.00"
3339880,OFF,2025,Indie,$12.74,15%,0,$0.00,919,"$585,403.00"
286160,Tabletop Simulator,2015,Indie,$19.99,0%,70660,"$70,624,670.00",68575,"$68,540,712.50"
1562430,DREDGE,2023,Indie,$13.49,50%,43966,"$29,655,067.00",46656,"$31,469,472.00"
2670630,Supermarket Simulator,2025,Indie,$19.99,0%,68341,"$68,306,829.50",71219,"$71,183,390.50"
2016460,Tales of the Shire: A The Lord of The Rings™ Game,2025,Indie,$34.99,0%,0,$0.00,2458,"$4,300,271.00"
367520,Hollow Knight,2017,Indie,$14.99,0%,415946,"$311,751,527.00",429890,"$322,202,555.00"
1290000,PowerWash Simulator,2022,Indie,$24.99,0%,52410,"$65,486,295.00",53980,"$67,448,010.00"
244210,Assetto Corsa,2014,Indie,$19.99,0%,151391,"$151,315,304.50",155752,"$155,674,124.00"
899770,Last Epoch,2024,Indie,$34.99,0%,110623,"$193,534,938.50",111850,"$195,681,575.00"
1569580,Blue Prince,2025,Indie,$29.99,0%,8402,"$12,598,799.00",10680,"$16,014,660.00"
275850,No Man's Sky,2016,Indie,$59.99,0%,352858,"$1,058,397,571.00",358621,"$1,075,683,689.50"
1190970,House Flipper 2,2023,Indie,$39.99,0%,13691,"$27,375,154.50",14916,"$29,824,542.00"
1145350,Hades II,2024,Indie,$29.99,0%,64132,"$96,165,934.00",67684,"$101,492,158.00"
2525310,Drop Duchy,2025,Indie,$11.99,20%,1366,"$818,917.00",1841,"$1,103,679.50"
1426210,It Takes Two Friend's Pass,2021,Indie,Unknown,0%,218383,0,228084,0
753640,Outer Wilds,2020,Indie,$24.99,0%,84488,"$105,567,756.00",88627,"$110,739,436.50"
892970,Valheim,2021,Indie,$19.99,0%,499828,"$499,578,086.00",505120,"$504,867,440.00"
1206560,WorldBox - God Simulator,2021,Indie,$19.99,0%,44062,"$44,039,969.00",46594,"$46,570,703.00"
3483740,Cast n Chill,2025,Indie,$11.99,20%,0,$0.00,2787,"$1,670,806.50"
346110,ARK: Survival Evolved,2017,Indie,$14.99,0%,730170,"$547,262,415.00",744142,"$557,734,429.00"
2787320,Revenge of the Savage Planet,2025,Indie,$19.49,35%,0,$0.00,1726,"$1,681,987.00"
4000,Garry's Mod,2006,Indie,$9.99,0%,1159707,"$579,273,646.50",1174043,"$586,434,478.50"
1286220,Sea Power : Naval Combat in the Missile Age,2024,Indie,$39.99,20%,3787,"$7,572,106.50",4128,"$8,253,936.00"
1190000,Car Mechanic Simulator 2021,2021,Indie,$24.99,0%,29841,"$37,286,329.50",31204,"$38,989,398.00"
728880,Overcooked! 2,2018,Indie,$6.24,75%,72801,"$22,713,912.00",74920,"$23,375,040.00"
371970,Barony,2015,Indie,$19.99,0%,10511,"$10,505,744.50",12099,"$12,092,950.50"
3247750,Mycopunk,2025,Indie,$14.99,0%,0,$0.00,2227,"$1,669,136.50"
2085540,Stick It to the Stickman,2025,Indie,$4.99,0%,0,$0.00,743,"$185,378.50"
2407270,AI LIMIT,2025,Indie,$27.99,20%,22025,"$30,823,987.50",27775,"$38,871,112.50"
1435790,Escape Simulator,2021,Indie,$11.99,40%,17308,"$10,376,146.00",17737,"$10,633,331.50"
391540,Undertale,2015,Indie,$9.99,0%,272932,"$136,329,534.00",291810,"$145,759,095.00"
1260320,Party Animals,2023,Indie,$19.99,0%,64032,"$63,999,984.00",66686,"$66,652,657.00"
2217000,Rivals of Aether II,2024,Indie,$29.99,0%,7294,"$10,937,353.00",8170,"$12,250,915.00"
227300,Euro Truck Simulator 2,2012,Indie,$19.99,0%,867404,"$866,970,298.00",850004,"$849,578,998.00"
322330,Don't Starve Together,2016,Indie,$14.99,0%,499061,"$374,046,219.50",507077,"$380,054,211.50"
1145360,Hades,2020,Indie,$24.99,0%,279741,"$349,536,379.50",283552,"$354,298,224.00"
242760,The Forest,2018,Indie,$19.99,0%,627791,"$627,477,104.50",638581,"$638,261,709.50"
686810,Hell Let Loose,2021,Indie,$47.97,0%,137677,"$330,218,284.50",139634,"$334,912,149.00"
233860,Kenshi,2018,Indie,$29.99,0%,98135,"$147,153,432.50",101489,"$152,182,755.50"
1868140,DAVE THE DIVER,2023,Indie,$19.99,0%,129331,"$129,266,334.50",135052,"$134,984,474.00"
613100,House Flipper,2018,Indie,$24.99,0%,95144,"$118,882,428.00",97806,"$122,208,597.00"
3097560,Liar's Bar,2024,Indie,$6.99,0%,48550,"$16,968,225.00",50838,"$17,767,881.00"
2198150,Tiny Glade,2024,Indie,$14.99,0%,19845,"$14,873,827.50",21015,"$15,750,742.50"
1217060,Gunfire Reborn,2021,Indie,$19.99,0%,99172,"$99,122,414.00",99809,"$99,759,095.50"
220200,Kerbal Space Program,2015,Indie,$39.99,0%,127162,"$254,260,419.00",129144,"$258,223,428.00"
3645890,GONE Fishing,2025,Indie,$11.99,0%,0,$0.00,457,"$273,971.50"
2916430,Fast Food Simulator,2024,Indie,$10.49,30%,5773,"$3,027,938.50",6668,"$3,497,366.00"
1527950,Wartales,2023,Indie,$34.99,0%,29336,"$51,323,332.00",30459,"$53,288,020.50"
3805420,A Few Quick Matches,2025,Indie,$6.99,0%,0,$0.00,1695,"$592,402.50"
376210,The Isle,2015,Indie,$19.99,0%,94804,"$94,756,598.00",98078,"$98,028,961.00"
1040200,Crime Scene Cleaner,2024,Indie,$24.63,0%,22018,"$27,115,167.00",24656,"$30,363,864.00"
2404880,Car Dealer Simulator,2025,Indie,$19.99,0%,591,"$590,704.50",3259,"$3,257,370.50"
268910,Cuphead,2017,Indie,$19.99,0%,186835,"$186,741,582.50",192625,"$192,528,687.50"
