Genre,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Action,3,9,4,10,20,31,36,52,52,54,69,71,58,63,106,109
Adventure,2,5,6,9,17,24,36,33,50,57,76,66,71,76,102,117
RPG,2,7,8,11,21,32,22,25,52,66,69,65,69,75,120,103
Strategy,2,5,4,11,30,33,29,50,52,57,64,54,76,64,99,112
Simulation,2,1,2,8,12,28,25,28,52,58,67,62,84,76,119,125
Casual,0,3,5,10,15,22,33,27,34,54,66,69,74,80,126,126
Racing,3,3,2,6,19,34,59,73,97,67,81,52,64,71,76,37
Sports,1,2,1,4,15,22,57,73,90,72,80,64,71,59,79,55
Puzzle,2,3,7,19,24,33,40,50,52,51,81,80,58,59,98,83
Platformer,5,8,25,39,52,52,63,53,65,52,48,77,40,47,63,54
Deckbuilding,1,0,0,2,7,13,20,33,58,39,89,112,85,85,115,52
